source_family_bonus,redundancy_penalty,max_per_source_family,evaluated_answerable_queries,latency_samples,recall_at_budget_macro,mrr,ndcg_at_budget_macro,mean_source_family_coverage,mean_exact_claim_redundancy,latency_ms_p50,latency_ms_p95,mean_scored_candidates,mean_selected_evidence,mean_visited_evidence,mean_visited_nodes,mean_visited_edges,timeout_count,pareto_optimal,quality_constraint_passed
0.12,0.16,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.82965,1.60612,13.15,3.7,13.3,0.0,0.0,0,False,True
0.12,0.24,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.7258,1.4478499999999999,13.15,3.425,13.3,0.0,0.0,0,False,False
0.12,0.24,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.7791,1.4013299999999997,13.15,3.65,13.3,0.0,0.0,0,False,True
0.12,0.24,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.84015,1.5921949999999998,13.15,3.7,13.3,0.0,0.0,0,False,True
0.12,0.32,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.7316,1.3994549999999997,13.15,3.425,13.3,0.0,0.0,0,False,False
0.12,0.32,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.80575,1.51417,13.15,3.65,13.3,0.0,0.0,0,False,True
0.12,0.32,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.76735,1.330915,13.15,3.7,13.3,0.0,0.0,0,True,True
0.16,0.08,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.68565,1.1643649999999999,13.15,3.425,13.3,0.0,0.0,0,True,False
0.16,0.08,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.7787999999999999,1.3654,13.15,3.65,13.3,0.0,0.0,0,False,True
0.16,0.08,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.7976000000000001,1.4524949999999999,13.15,3.7,13.3,0.0,0.0,0,False,True
0.16,0.16,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.7472,1.4290100000000001,13.15,3.425,13.3,0.0,0.0,0,False,False
0.16,0.16,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.83765,1.6395599999999997,13.15,3.65,13.3,0.0,0.0,0,False,True
0.16,0.16,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.83735,1.5948449999999998,13.15,3.7,13.3,0.0,0.0,0,False,True
